alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B,drop
0.0,-0.0,36.316009988275134,7.0915321478755e-05,0.00011186777768522514,4.095245620647014e-05,3.204361439,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.001,0.0012073460615170434,36.38814061326412,7.057471643198796e-05,0.00011131975822221091,4.074504179022295e-05,3.2075636747897533,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.002,0.0024159012830373373,36.460382581613295,7.02348749734409e-05,0.00011077304361205765,4.0538168638616754e-05,3.2107749302382977,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.003,0.0036256680889424483,36.532736157135005,6.989579792088797e-05,0.00011022763483473608,4.033183691384811e-05,3.213995249212669,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.004,0.004836648910912638,36.60520160450915,6.955748609105154e-05,0.0001096835328679437,4.012604677689216e-05,3.217224675887298,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.005,0.006048846187956184,36.677779189287016,6.921994029958439e-05,0.00010914073868707703,3.9920798387492644e-05,3.2204632547468424,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.006,0.00726226236643886,36.75046917789448,6.888316136105554e-05,0.0001085992532652092,3.9716091904153664e-05,3.2237110305890324,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.007,0.008476899900113556,36.82327183763656,6.854715008892922e-05,0.00010805907757305706,3.951192748412784e-05,3.226968048527591,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.008,0.009692761250150046,36.89618743670036,6.821190729555152e-05,0.00010752021257896038,3.930830528340886e-05,3.2302343539951277,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.009000000000000001,0.010909848885164919,36.969216244159256,6.787743379213097e-05,0.00010698265924885169,3.9105225456720715e-05,3.2335099927461064,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.01,0.012128165281251643,37.042358529976525,6.75437303887222e-05,0.00010644641854623027,3.890268815750807e-05,3.236795010859841,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.011,0.013347712922010794,37.115614565009146,6.721079789420808e-05,0.00010591149143213474,3.8700693537926665e-05,3.2400894547435115,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.012,0.014568494298580434,37.188984621011734,6.687863711628134e-05,0.00010537787886511396,3.849924174883262e-05,3.243393371135252,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.013000000000000001,0.01579051190966664,37.26246897064009,6.654724886142883e-05,0.00010484558180120296,3.829833293977413e-05,3.2467068071071923,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.014,0.017013768261574202,37.33606788745523,6.621663393491201e-05,0.000104314601193892,3.809796725897998e-05,3.2500298100686416,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.015,0.018238265868237437,37.40978164592744,6.58867931407483e-05,0.00010378493799409782,3.7898144853349525e-05,3.2533624277692406,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.016,0.019464007251251227,37.4836105214399,6.555772728169423e-05,0.00010325659315013729,3.769886586844306e-05,3.2567047083021636,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.017,0.020690994939902133,37.557554790292535,6.522943715922712e-05,0.00010272956760769885,3.750013044847173e-05,3.260056700107356,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.018000000000000002,0.02191923147119975,37.631614729706314,6.490192357352516e-05,0.00010220386230981165,3.7301938736286486e-05,3.2634184519748253,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.019,0.023148719389908156,37.70579061782685,6.457518732345006e-05,0.00010167947819681824,3.710429087336819e-05,3.2667900130479635,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.02,0.02437946124857754,37.78008273372837,6.424922920652862e-05,0.0001011564162063464,3.6907186999817775e-05,3.2701714328268756,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.021,0.025611459607576034,37.85449135741813,6.39240500189315e-05,0.00010063467727327553,3.671062725434404e-05,3.2735627611718288,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.022,0.026844717035121635,37.929016769839826,6.359965055545727e-05,0.00010011426232971257,3.65146117742553e-05,3.2769640483066262,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.023,0.028079236107314345,38.00365925287826,6.327603160950982e-05,9.959517230495618e-05,3.631914069544636e-05,3.2803753448221546,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.024,0.02931501940816846,38.07841908936365,6.295319397307777e-05,9.907740812546502e-05,3.612421415238725e-05,3.283796701679905,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.025,0.030552069529645003,38.15329656307268,6.263113843673021e-05,9.856097071485202e-05,3.5929832278121815e-05,3.2872281702153314,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.026000000000000002,0.031790389071684376,38.22829195873783,6.230986578957059e-05,9.804586099381131e-05,3.573599520424072e-05,3.2906698021418044,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.027,0.0330299806422391,38.3034055620476,6.198937681923641e-05,9.753207988011878e-05,3.554270306088237e-05,3.294121649554004,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.028,0.03427084685730682,38.37863765965198,6.166967231187278e-05,9.701962828859086e-05,3.534995597671808e-05,3.2975837649316895,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.029,0.03551299034096341,38.45398853916644,6.135075305211277e-05,9.650850713105393e-05,3.515775407894115e-05,3.3010562011434357,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.03,0.036756413725396245,38.529458489175646,6.103261982305946e-05,9.599871731631695e-05,3.496609749325749e-05,3.3045390114503683,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.031,0.038001119650937686,38.60504779923883,6.071527340626e-05,9.549025975013081e-05,3.477498634387081e-05,3.3080322495100654,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.032,0.039247110766098735,38.68075675989285,6.0398714581690213e-05,9.498313533516478e-05,3.458442075347457e-05,3.3115359693803708,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.033,0.04049438972760284,38.7565856626571,6.0082944127731085e-05,9.44773449709701e-05,3.439440084323901e-05,3.3150502255233283,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.034,0.04174295920041986,38.83253480003763,5.976796282114797e-05,9.397288955394781e-05,3.420492673279984e-05,3.3185750728091588,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.035,0.04299282185780024,38.90860446553115,5.94537714370713e-05,9.346976997731918e-05,3.4015998540247875e-05,3.3221105665202373,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.036000000000000004,0.04424398038130938,38.98479495363007,5.914037074897144e-05,9.296798713108639e-05,3.382761638211495e-05,3.325656762355223,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.037,0.04549643746086214,39.061106559826065,5.882776152864118e-05,9.2467541902006e-05,3.363978037336481e-05,3.329213716433102,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.038,0.046750195794757504,39.13753958061506,5.851594454617098e-05,9.19684351735504e-05,3.3452490627379426e-05,3.332781485297399,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.039,0.04800525808971351,39.21409431350124,5.820492056992893e-05,9.147066782587711e-05,3.326574725594818e-05,3.3363601259203692,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.04,0.049261627060902285,39.29077105700132,5.789469036653945e-05,9.097424073579598e-05,3.307955036925652e-05,3.339949695707245,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.041,0.05051930543198529,39.36757011064976,5.758525470085738e-05,9.047915477672891e-05,3.2893900075871526e-05,3.3435502525006147,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.042,0.05177829593514876,39.44449177500244,5.727661433594928e-05,8.99854108186815e-05,3.270879648273222e-05,3.3471618545847366,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.043000000000000003,0.05303860131113929,39.521536351641394,5.696877003306977e-05,8.949300972820631e-05,3.252423969513654e-05,3.3507845606899846,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.044,0.05430022430929967,39.59870414317946,5.666172255163811e-05,8.900195236836686e-05,3.2340229816728756e-05,3.3544184299973407,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.045,0.055563167687604845,39.675995453264804,5.635547264921536e-05,8.851223959870266e-05,3.2156766949487305e-05,3.3580635221429174,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.046,0.056827434212698105,39.753410586585346,5.605002108148189e-05,8.802387227519434e-05,3.197385119371245e-05,3.3617198972225606,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
0.047,0.058093026659927424,39.830949848873146,5.574536860221479e-05,8.753685125022925e-05,3.179148264801446e-05,3.3653876157964775,0.6751864500008666,0.828677349,0.7,8.0,2.0,0
