alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B
0.0,-0.0,11.195925964005433,0.00046261074021051795,0.0008038369753155207,0.0003412262351050027,3.204,0.665,0.828,0.6,8.0,2.0
0.001,0.001208333736211998,11.222780116040818,0.0004618648249421071,0.0008024341922484697,0.0003405693673063626,3.2058492960691423,0.665,0.828,0.6,8.0,2.0
0.002,0.0024178776215858446,11.249672473709417,0.00046111899985085743,0.0008010318920346808,0.0003399128921838234,3.207701569515713,0.665,0.828,0.6,8.0,2.0
0.003,0.0036286340824863822,11.27660312140018,0.0004603732655826044,0.0007996300757894304,0.00033925681020682597,3.2095568283207174,0.665,0.828,0.6,8.0,2.0
0.004,0.004840605552583119,11.303572143762478,0.0004596276227849855,0.0007982287446306569,0.0003386011218456714,3.211415080495195,0.665,0.828,0.6,8.0,2.0
0.005,0.0060537944728795735,11.330579625707124,0.0004588820721074481,0.0007968278996789705,0.0003379458275715224,3.2132763340803554,0.665,0.828,0.6,8.0,2.0
0.006,0.007268203291742779,11.357625652407458,0.00045813661420125186,0.0007954275420576582,0.00033729092785640636,3.2151405971477236,0.665,0.828,0.6,8.0,2.0
0.007,0.008483834464932932,11.384710309300395,0.0004573912497194753,0.0007940276728926903,0.000336636423173215,3.2170078777993023,0.665,0.828,0.6,8.0,2.0
0.008,0.009700690455633173,11.411833682087448,0.00045664597931702227,0.0007926282933127313,0.000335982313995709,3.218878184167705,0.665,0.828,0.6,8.0,2.0
0.009000000000000001,0.010918773734479555,11.438995856813706,0.0004559008036472478,0.00079122940444269,0.00033532860079544223,3.220751524427536,0.665,0.828,0.6,8.0,2.0
0.01,0.012138086779591125,11.466196919557499,0.000455155723375482,0.0007898310074295569,0.0003346752840540749,3.2226279067506427,0.665,0.828,0.6,8.0,2.0
0.011,0.01335863207660018,11.493436956898329,0.00045441073915875534,0.000788433103403658,0.00033402236424490264,3.224507339373609,0.665,0.828,0.6,8.0,2.0
0.012,0.014580412118682669,11.52071605560685,0.0004536658516593272,0.0007870356935045066,0.00033336984184517937,3.22638983055301,0.665,0.828,0.6,8.0,2.0
0.013000000000000001,0.015803429406588746,11.548034302723664,0.00045292106154131204,0.0007856387788743491,0.00033271771733303705,3.2282753885767965,0.665,0.828,0.6,8.0,2.0
0.014,0.017027686448673487,11.575391785560477,0.00045217636947068033,0.0007842423606581688,0.00033206599118748846,3.2301640217644403,0.665,0.828,0.6,8.0,2.0
