alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B,drop
0.0,-0.0,35.636212621522255,7.453561459458115e-05,0.00011770970028674991,4.3174085692168764e-05,3.204361439,0.6772002292392809,0.828677349,0.7,8.0,2.0,1
0.001,0.0012073460615170434,35.70741018908495,7.418529650433378e-05,0.00011714513685518093,4.2959840350847157e-05,3.2075240707711217,0.6772002292392809,0.828677349,0.7,8.0,2.0,1
0.002,0.0024159012830373373,35.77871764368136,7.383573971858727e-05,0.00011658187935576171,4.2746139637174437e-05,3.2106954806553993,0.6772002292392809,0.828677349,0.7,8.0,2.0,1
0.003,0.0036256680889424483,35.85013524555369,7.348694508477617e-05,0.00011601992881699939,4.253298373222322e-05,3.213875710671682,0.6772002292392809,0.828677349,0.7,8.0,2.0,1
0.004,0.004836648910912638,35.92166325579953,7.313891344945769e-05,0.00011545928626538369,4.2320372815926e-05,3.21706480312847,0.6772002292392809,0.828677349,0.7,8.0,2.0,1
0.005,0.006048846187956184,35.993301936375545,7.279164565829609e-05,0.00011489995272536178,4.210830706706569e-05,3.220262800626538,0.6772002292392809,0.828677349,0.7,8.0,2.0,1
0.006,0.00726226236643886,36.065051550101145,7.244514255604611e-05,0.00011434192921931225,4.189678666326614e-05,3.2234697460615984,0.6772002292392809,0.828677349,0.7,8.0,2.0,1
0.007,0.008476899900113556,36.13691236066206,7.209940498653785e-05,0.00011378521676752127,4.168581178098342e-05,3.2266856826269685,0.6772002292392809,0.828677349,0.7,8.0,2.0,1
0.008,0.009692761250150046,36.208884632614044,7.175443379266035e-05,0.00011322981638815701,4.147538259549666e-05,3.2299106538162734,0.6772002292392809,0.828677349,0.7,8.0,2.0,1
0.009000000000000001,0.010909848885164919,36.2809686313865,7.14102298163459e-05,0.00011267572909724457,4.126549928089868e-05,3.2331447034261913,0.6772002292392809,0.828677349,0.7,8.0,2.0,1
0.01,0.012128165281251643,36.35316462328643,7.106679389855206e-05,0.00011212295590863806,4.1056162010086005e-05,3.2363878755592363,0.6772002292392809,0.828677349,0.7,8.0,2.0,1
0.011,0.013347712922010794,36.42547287550204,7.072412687924642e-05,0.00011157149783399658,4.0847370954750164e-05,3.2396402146265353,0.6772002292392809,0.828677349,0.7,8.0,2.0,1
0.012,0.014568494298580434,36.49789365610605,7.038222959739179e-05,0.00011102135588276073,4.063912628536894e-05,3.242901765350665,0.6772002292392809,0.828677349,0.7,8.0,2.0,1
0.013000000000000001,0.01579051190966664,36.57042723406067,7.004110289092363e-05,0.00011047253106211747,4.043142817119383e-05,3.2461725727685535,0.6772002292392809,0.828677349,0.7,8.0,2.0,1
