alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B
0.0,-0.0,36.87751802039648,6.80409381277645e-05,0.00010723669512729533,3.919575699953083e-05,3.204,0.67355,0.828,0.7,8.0,2.0
0.001,0.001208333736211998,36.950416237100136,6.770823210191697e-05,0.0001067020875647506,3.8993855462833625e-05,3.2072352288107706,0.67355,0.828,0.7,8.0,2.0
0.002,0.0024178776215858446,37.023426995014134,6.737629122232696e-05,0.00010616878352700176,3.87924923046748e-05,3.2104796826403796,0.67355,0.828,0.7,8.0,2.0
0.003,0.0036286340824863822,37.09655056088781,6.704511628151296e-05,0.00010563678395297157,3.8591667671458604e-05,3.21373340695307,0.67355,0.828,0.7,8.0,2.0
0.004,0.004840605552583119,37.169787202347656,6.671470807079717e-05,0.00010510608977909871,3.839138170830154e-05,3.216996447536024,0.67355,0.828,0.7,8.0,2.0
0.005,0.0060537944728795735,37.24313718790153,6.638506738028476e-05,0.00010457670193930559,3.819163455902082e-05,3.220268850502412,0.67355,0.828,0.7,8.0,2.0
0.006,0.007268203291742779,37.316600786942644,6.605619499884558e-05,0.00010404862136496945,3.799242636612387e-05,3.223550662294445,0.67355,0.828,0.7,8.0,2.0
0.007,0.008483834464932932,37.390178269752724,6.572809171409924e-05,0.00010352184898489966,3.7793757270800424e-05,3.226841929686417,0.67355,0.828,0.7,8.0,2.0
0.008,0.009700690455633173,37.46386990750604,6.540075831239587e-05,0.00010299638572530744,3.7595627412911564e-05,3.2301426997878417,0.67355,0.828,0.7,8.0,2.0
0.009000000000000001,0.010918773734479555,37.53767597227362,6.507419557879588e-05,0.00010247223250977427,3.7398036930978387e-05,3.2334530200466296,0.67355,0.828,0.7,8.0,2.0
0.01,0.012138086779591125,37.611596737026126,6.474840429705671e-05,0.00010194939025923168,3.7200985962174965e-05,3.236772938252218,0.67355,0.828,0.7,8.0,2.0
0.011,0.01335863207660018,37.6856324756387,6.442338524960947e-05,0.00010142785989192462,3.700447464231516e-05,3.2401025025388477,0.67355,0.828,0.7,8.0,2.0
0.012,0.014580412118682669,37.75978346289434,6.409913921754224e-05,0.00010090764232338554,3.68085031058433e-05,3.2434417613888264,0.67355,0.828,0.7,8.0,2.0
0.013000000000000001,0.015803429406588746,37.83404997448751,6.377566698058363e-05,0.00010038873846640905,3.661307148582542e-05,3.2467907636357807,0.67355,0.828,0.7,8.0,2.0
0.014,0.017027686448673487,37.90843228702948,6.345296931707642e-05,9.987114923101045e-05,3.641817991393403e-05,3.250149558468112,0.67355,0.828,0.7,8.0,2.0
