alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B
0.0,-0.0,5.904131313294914,0.0008453866726838257,0.0017215598346088175,0.0008761731619249918,3.204,0.665,0.828,0.5,8.0,2.0
0.001,0.001208333736211998,5.9125834595289,0.0008448716918617315,0.001720138983200813,0.0008752672913390815,3.205301540481385,0.665,0.828,0.5,8.0,2.0
0.002,0.0024178776215858446,5.921045128049436,0.0008443563897516607,0.0017187179279610008,0.0008743615382093401,3.2066046679574205,0.665,0.828,0.5,8.0,2.0
0.003,0.0036286340824863822,5.929516336280691,0.0008438407661768419,0.0017172966688509459,0.000873455902674104,3.2079093856908827,0.665,0.828,0.5,8.0,2.0
0.004,0.004840605552583119,5.937997101692146,0.0008433248209603748,0.001715875205832344,0.0008725503848719692,3.2092156969540064,0.665,0.828,0.5,8.0,2.0
0.005,0.0060537944728795735,5.946487441798739,0.0008428085539252314,0.0017144535388670264,0.000871644984941795,3.2105236050285195,0.665,0.828,0.5,8.0,2.0
0.006,0.007268203291742779,5.954987374161028,0.0008422919648942547,0.0017130316679169564,0.0008707397030227017,3.211833113205684,0.665,0.828,0.5,8.0,2.0
0.007,0.008483834464932932,5.963496916385339,0.0008417750536901596,0.0017116095929442345,0.0008698345392540749,3.2131442247863213,0.665,0.828,0.5,8.0,2.0
0.008,0.009700690455633173,5.972016086123919,0.000841257820135533,0.0017101873139110965,0.0008689294937755635,3.214456943080859,0.665,0.828,0.5,8.0,2.0
0.009000000000000001,0.010918773734479555,5.980544901075105,0.0008407402640528319,0.001708764830779913,0.0008680245667270811,3.215771271409359,0.665,0.828,0.5,8.0,2.0
0.01,0.012138086779591125,5.989083378983469,0.0008402223852643872,0.0017073421435131947,0.0008671197582488076,3.2170872131015584,0.665,0.828,0.5,8.0,2.0
0.011,0.01335863207660018,5.997631537639981,0.0008397041835924002,0.0017059192520735894,0.0008662150684811892,3.2184047714969015,0.665,0.828,0.5,8.0,2.0
0.012,0.014580412118682669,6.00618939488217,0.0008391856588589435,0.0017044961564238808,0.0008653104975649373,3.2197239499445844,0.665,0.828,0.5,8.0,2.0
0.013000000000000001,0.015803429406588746,6.014756968594273,0.0008386668108859626,0.001703072856526996,0.0008644060456410333,3.221044751803582,0.665,0.828,0.5,8.0,2.0
0.014,0.017027686448673487,6.02333427670741,0.0008381476394952735,0.0017016493523459976,0.0008635017128507241,3.2223671804426943,0.665,0.828,0.5,8.0,2.0
0.015,0.01825318576092776,6.031921337199732,0.0008376281445085653,0.0017002256438440953,0.0008625974993355301,3.2236912392405705,0.665,0.828,0.5,8.0,2.0
0.016,0.019479929867009232,6.040518168096585,0.0008371083257473981,0.001698801730984636,0.000861693405237238,3.2250169315857624,0.665,0.828,0.5,8.0,2.0
0.017,0.02070792129827357,6.049124787470678,0.0008365881830332037,0.0016973776137311095,0.0008607894306979058,3.22634426087675,0.665,0.828,0.5,8.0,2.0
0.018000000000000002,0.021937162593805775,6.057741213442239,0.0008360677161872856,0.0016959532920471474,0.0008598855758598618,3.2276732305219875,0.665,0.828,0.5,8.0,2.0
0.019,0.023167656300451676,6.066367464179181,0.0008355469250308206,0.0016945287658965294,0.0008589818408657089,3.2290038439399287,0.665,0.828,0.5,8.0,2.0
0.02,0.0243994049728496,6.075003557897259,0.0008350258093848559,0.001693104035243177,0.0008580782258583212,3.2303361045590786,0.665,0.828,0.5,8.0,2.0
0.021,0.025632411173462186,6.083649512860249,0.0008345043690703115,0.0016916791000511572,0.0008571747309808457,3.231670015818025,0.665,0.828,0.5,8.0,2.0
0.022,0.026866677472608378,6.092305347380106,0.0008339826039079787,0.0016902539602846828,0.0008562713563767041,3.2330055811654757,0.665,0.828,0.5,8.0,2.0
0.023,0.02810220644849557,6.100971079817121,0.0008334605137185213,0.0016888286159081136,0.0008553681021895923,3.234342804060303,0.665,0.828,0.5,8.0,2.0
0.024,0.02933900068725192,6.109646728580101,0.0008329380983224755,0.0016874030668859595,0.0008544649685634841,3.235681687971572,0.665,0.828,0.5,8.0,2.0
0.025,0.030577062782958814,6.118332312126533,0.0008324153575402485,0.0016859773131828754,0.000853561955642627,3.237022236378591,0.665,0.828,0.5,8.0,2.0
0.026000000000000002,0.03181639533768355,6.127027848962748,0.000831892291192121,0.0016845513547636682,0.0008526590635715472,3.238364452770943,0.665,0.828,0.5,8.0,2.0
0.027,0.033057000961512095,6.135733357644094,0.0008313688990982442,0.001683125191593292,0.0008517562924950478,3.2397083406485283,0.665,0.828,0.5,8.0,2.0
0.028,0.034298882272582126,6.144448856775102,0.0008308451810786434,0.0016816988236368555,0.0008508536425582121,3.2410539035215997,0.665,0.828,0.5,8.0,2.0
0.029,0.03554204189711615,6.153174365009661,0.0008303211369532147,0.0016802722508596146,0.0008499511139063999,3.24240114491081,0.665,0.828,0.5,8.0,2.0
0.03,0.036786482469454804,6.161909901051184,0.0008297967665417268,0.0016788454732269806,0.0008490487066852538,3.243750068347243,0.665,0.828,0.5,8.0,2.0
0.031,0.0380322066320904,6.170655483652788,0.0008292720696638215,0.0016774184907045173,0.0008481464210406958,3.2451006773724598,0.665,0.828,0.5,8.0,2.0
0.032,0.03927921703570056,6.179411131617459,0.0008287470461390118,0.0016759913032579413,0.0008472442571189295,3.2464529755385363,0.665,0.828,0.5,8.0,2.0
0.033,0.04052751633918207,6.188176863798221,0.0008282216957866838,0.0016745639108531269,0.0008463422150664431,3.247806966408099,0.665,0.828,0.5,8.0,2.0
