alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B
0.0,-0.0,39.94883988785737,5.401972472759377e-05,8.474108804297843e-05,3.072136331538466e-05,3.204,0.665,0.828,0.7,8.0,2.0
0.001,0.001208333736211998,40.025889528911506,5.372827002346175e-05,8.427592746307325e-05,3.05476574396115e-05,3.2074290190497066,0.665,0.828,0.7,8.0,2.0
0.002,0.0024178776215858446,40.10305818624683,5.3437583943026126e-05,8.38120564599208e-05,3.037447251689467e-05,3.2108685155633423,0.665,0.828,0.7,8.0,2.0
0.003,0.0036286340824863822,40.18034614249102,5.3147667129076473e-05,8.334947573330907e-05,3.02018086042326e-05,3.2143185451693674,0.665,0.828,0.7,8.0,2.0
0.004,0.004840605552583119,40.25775368120364,5.2858520222363005e-05,8.288818597931837e-05,3.0029665756955363e-05,3.2177791639228093,0.665,0.828,0.7,8.0,2.0
0.005,0.0060537944728795735,40.33528108688013,5.2570143861574136e-05,8.242818789028733e-05,2.9858044028713195e-05,3.2212504283095402,0.665,0.828,0.7,8.0,2.0
0.006,0.007268203291742779,40.41292864495506,5.228253868331735e-05,8.196948215478382e-05,2.9686943471466466e-05,3.2247323952505957,0.665,0.828,0.7,8.0,2.0
0.007,0.008483834464932932,40.49069664180697,5.199570532209313e-05,8.151206945756508e-05,2.951636413547195e-05,3.2282251221066143,0.665,0.828,0.7,8.0,2.0
0.008,0.009700690455633173,40.56858536476159,5.170964441027599e-05,8.105595047954898e-05,2.9346306069272987e-05,3.231728666682243,0.665,0.828,0.7,8.0,2.0
0.009000000000000001,0.010918773734479555,40.64659510209654,5.1424356578088536e-05,8.060112589777418e-05,2.917676931968564e-05,3.235243087230709,0.665,0.828,0.7,8.0,2.0
0.01,0.012138086779591125,40.724726143045245,5.113984245357937e-05,8.01475963853668e-05,2.9007753931787425e-05,3.238768442458357,0.665,0.828,0.7,8.0,2.0
0.011,0.01335863207660018,40.80297877780086,5.0856102662600815e-05,7.969536261150631e-05,2.8839259948905493e-05,3.2423047915292735,0.665,0.828,0.7,8.0,2.0
0.012,0.014580412118682669,40.88135329752045,5.057313782878472e-05,7.924442524138884e-05,2.8671287412604123e-05,3.2458521940699874,0.665,0.828,0.7,8.0,2.0
0.013000000000000001,0.015803429406588746,40.95984999432904,5.029094857352017e-05,7.87947849361931e-05,2.8503836362672933e-05,3.2494107101741934,0.665,0.828,0.7,8.0,2.0
0.014,0.017027686448673487,41.03846916132275,5.000953551593316e-05,7.834644235305009e-05,2.833690683711693e-05,3.2529804004074983,0.665,0.828,0.7,8.0,2.0
0.015,0.01825318576092776,41.11721109264661,4.9728899272564965e-05,7.789939814453153e-05,2.817049887196656e-05,3.256561325816939,0.665,0.828,0.7,8.0,2.0
0.016,0.019479929867009232,41.196076083148554,4.944904045876606e-05,7.745365296087526e-05,2.8004612502109204e-05,3.2601535479138004,0.665,0.828,0.7,8.0,2.0
0.017,0.02070792129827357,41.2750644290711,4.9169959685888385e-05,7.700920744550838e-05,2.783924775962e-05,3.263757128722009,0.665,0.828,0.7,8.0,2.0
0.018000000000000002,0.021937162593805775,41.35417642737539,4.889165756401501e-05,7.656606223940327e-05,2.7674404675388264e-05,3.2673721307402457,0.665,0.828,0.7,8.0,2.0
0.019,0.023167656300451676,41.433412376082956,4.8614134700569186e-05,7.612421797886082e-05,2.7510083278291638e-05,3.270998616968366,0.665,0.828,0.7,8.0,2.0
0.02,0.0243994049728496,41.51277257421385,4.8337391700557435e-05,7.56836752958999e-05,2.7346283595342467e-05,3.2746366509084246,0.665,0.828,0.7,8.0,2.0
0.021,0.025632411173462186,41.59225732179015,4.8061429166547914e-05,7.524443481822503e-05,2.7183005651677118e-05,3.2782862965698656,0.665,0.828,0.7,8.0,2.0
0.022,0.026866677472608378,41.67186691984163,4.7786247698639966e-05,7.480649716917966e-05,2.7020249470539694e-05,3.281947618474941,0.665,0.828,0.7,8.0,2.0
0.023,0.02810220644849557,41.75160167040954,4.751184789444142e-05,7.436986296771198e-05,2.6858015073270566e-05,3.2856206816640516,0.665,0.828,0.7,8.0,2.0
0.024,0.02933900068725192,41.83146187655166,4.723823034904025e-05,7.393453282833174e-05,2.669630247929149e-05,3.2893055517012706,0.665,0.828,0.7,8.0,2.0
0.025,0.030577062782958814,41.911447842346966,4.6965395654978224e-05,7.350050736107039e-05,2.6535111706092167e-05,3.293002294679869,0.665,0.828,0.7,8.0,2.0
0.026000000000000002,0.03181639533768355,41.991559872550006,4.669334440356963e-05,7.306778717358319e-05,2.637444277001356e-05,3.296710977205623,0.665,0.828,0.7,8.0,2.0
0.027,0.033057000961512095,42.071798273954876,4.6422077179646175e-05,7.263637286278153e-05,2.6214295683135355e-05,3.3004316664891555,0.665,0.828,0.7,8.0,2.0
0.028,0.034298882272582126,42.15216335326256,4.615159456975396e-05,7.22062650278906e-05,2.6054670458136646e-05,3.3041644302154456,0.665,0.828,0.7,8.0,2.0
0.029,0.03554204189711615,42.232655418766626,4.5881897155658666e-05,7.177746426010692e-05,2.5895567104448256e-05,3.307909336656849,0.665,0.828,0.7,8.0,2.0
0.03,0.036786482469454804,42.31327477970173,4.5612985516841484e-05,7.134997114657591e-05,2.573698562973443e-05,3.311666454637159,0.665,0.828,0.7,8.0,2.0
0.031,0.0380322066320904,42.394021746348336,4.534486023008728e-05,7.09237862697379e-05,2.557892603965062e-05,3.3154358535440056,0.665,0.828,0.7,8.0,2.0
0.032,0.03927921703570056,42.47489663003777,4.507752186945585e-05,7.049891020728487e-05,2.5421388337829022e-05,3.319217603334924,0.665,0.828,0.7,8.0,2.0
0.033,0.04052751633918207,42.55589974315636,4.4810971006256256e-05,7.007534353212155e-05,2.52643725258653e-05,3.3230117745434846,0.665,0.828,0.7,8.0,2.0
0.034,0.041777107209684895,42.63703139915061,4.4545208209017174e-05,6.965308681232059e-05,2.5107878603303415e-05,3.326818438285555,0.665,0.828,0.7,8.0,2.0
0.035,0.043027992322646334,42.71829191253143,4.428023404346076e-05,6.923214061108307e-05,2.4951906567622308e-05,3.330637666265585,0.665,0.828,0.7,8.0,2.0
0.036000000000000004,0.04428017436182545,42.799681598878735,4.401604907247489e-05,6.881250548669679e-05,2.4796456414221898e-05,3.334469530783,0.665,0.828,0.7,8.0,2.0
0.037,0.0455336560193376,42.88120077484662,4.37526538560837e-05,6.839418199249155e-05,2.4641528136407847e-05,3.338314104738695,0.665,0.828,0.7,8.0,2.0
0.038,0.04678843999568913,42.96284975816721,4.349004895142158e-05,6.797717067680027e-05,2.4487121725378683e-05,3.342171461641576,0.665,0.828,0.7,8.0,2.0
0.039,0.04804452899981232,43.04462886765636,4.3228234912701955e-05,6.756147208291147e-05,2.4333237170209516e-05,3.3460416756152576,0.665,0.828,0.7,8.0,2.0
0.04,0.049301925749100445,43.126538423218,4.29672122911895e-05,6.71470867490277e-05,2.4179874457838206e-05,3.3499248214047945,0.665,0.828,0.7,8.0,2.0
0.041,0.05056063296944308,43.20857874584837,4.270698163517345e-05,6.673401520822535e-05,2.4027033573051896e-05,3.35382097438348,0.665,0.828,0.7,8.0,2.0
0.042,0.05182065339526153,43.29075015764187,4.244754348993455e-05,6.632225798840452e-05,2.3874714498469967e-05,3.3577302105598497,0.665,0.828,0.7,8.0,2.0
0.043000000000000003,0.05308198976954449,43.37305298179532,4.218889839771772e-05,6.59118156122481e-05,2.3722917214530375e-05,3.3616526065846726,0.665,0.828,0.7,8.0,2.0
0.044,0.05434464484388383,43.4554875426124,4.193104689770392e-05,6.550268859717955e-05,2.3571641699475622e-05,3.365588239758043,0.665,0.828,0.7,8.0,2.0
0.045,0.055608621378510685,43.53805416550959,4.167398952597683e-05,6.509487745531236e-05,2.342088792933553e-05,3.3695371880366665,0.665,0.828,0.7,8.0,2.0
0.046,0.056873922142331605,43.620753177020184,4.1417726815495545e-05,6.468838269340924e-05,2.32706558779137e-05,3.3734995300411375,0.665,0.828,0.7,8.0,2.0
0.047,0.05814054991296496,43.703584904799605,4.116225929606304e-05,6.428320481283466e-05,2.3120945516771617e-05,3.3774753450633774,0.665,0.828,0.7,8.0,2.0
0.048,0.05940850747677752,43.78654967763028,4.090758749429649e-05,6.387934430951008e-05,2.2971756815213588e-05,3.3814647130741413,0.665,0.828,0.7,8.0,2.0
0.049,0.06067779762892125,43.86964782542707,4.065371193359422e-05,6.347680167386436e-05,2.282308974027014e-05,3.385467714730697,0.665,0.828,0.7,8.0,2.0
0.05,0.061948423173370265,43.95287967924128,4.0400633134108725e-05,6.307557739079331e-05,2.267494425668459e-05,3.389484431384484,0.665,0.828,0.7,8.0,2.0
0.051000000000000004,0.06322038692295802,44.036245571266534,4.0148351612712344e-05,6.2675671939608e-05,2.252732032689566e-05,3.3935149450890107,0.665,0.828,0.7,8.0,2.0
0.052000000000000005,0.06449369169941462,44.1197458348441,3.9896867882965214e-05,6.227708579398647e-05,2.2380217911021258e-05,3.3975593386078278,0.665,0.828,0.7,8.0,2.0
0.053,0.06576834033340442,44.20338080446692,3.964618245508689e-05,6.187981942193155e-05,2.2233636966844655e-05,3.4016176954225203,0.665,0.828,0.7,8.0,2.0
0.054,0.0670443356645638,44.28715081578573,3.939629583592137e-05,6.148387328571786e-05,2.208757744979649e-05,3.4056900997409554,0.665,0.828,0.7,8.0,2.0
0.055,0.06832168054153907,44.371056205613684,3.914720852890634e-05,6.10892478418461e-05,2.194203931293976e-05,3.40977663650554,0.665,0.828,0.7,8.0,2.0
0.056,0.06960037782202466,44.455097311931794,3.889892103404036e-05,6.06959435409936e-05,2.179702250695324e-05,3.413877391401637,0.665,0.828,0.7,8.0,2.0
0.057,0.07088043037280146,44.539274473894245,3.865143384784945e-05,6.030396082796411e-05,2.165252698011466e-05,3.417992450866128,0.665,0.828,0.7,8.0,2.0
0.058,0.07216184106977543,44.62358803183297,3.8404747463356604e-05,5.991330014164241e-05,2.1508552678285805e-05,3.4221219020960003,0.665,0.828,0.7,8.0,2.0
0.059000000000000004,0.07344461279801628,44.70803832726389,3.815886237004532e-05,5.952396191493939e-05,2.1365099544894073e-05,3.426265833057191,0.665,0.828,0.7,8.0,2.0
0.06,0.07472874845179654,44.792625702891876,3.79137790538274e-05,5.913594657474383e-05,2.122216752091643e-05,3.43042433249347,0.665,0.828,0.7,8.0,2.0
0.061,0.07601425093463053,44.87735050261533,3.766949799701159e-05,5.8749254541875604e-05,2.1079756544864014e-05,3.434597489935422,0.665,0.828,0.7,8.0,2.0
0.062,0.07730112315931453,44.96221307153246,3.742601967826667e-05,5.836388623103031e-05,2.093786655276364e-05,3.4387853957096572,0.665,0.828,0.7,8.0,2.0
0.063,0.07858936804796475,45.04721375594685,3.7183344572586934e-05,5.797984205072737e-05,2.0796497478140437e-05,3.4429881409481164,0.665,0.828,0.7,8.0,2.0
0.064,0.07987898853205927,45.13235290337178,3.694147315126084e-05,5.759712240326357e-05,2.065564925200273e-05,3.4472058175974305,0.665,0.828,0.7,8.0,2.0
0.065,0.08116998755247584,45.217630862536566,3.6700405881833816e-05,5.721572768465705e-05,2.0515321802823236e-05,3.4514385184285357,0.665,0.828,0.7,8.0,2.0
0.066,0.08246236805953441,45.30304798339154,3.6460143228074623e-05,5.6835658284597216e-05,2.0375515056522593e-05,3.455686337046342,0.665,0.828,0.7,8.0,2.0
0.067,0.08375613301303524,45.3886046171147,3.62206856499367e-05,5.6456914586386635e-05,2.0236228936449937e-05,3.4599493678996454,0.665,0.828,0.7,8.0,2.0
0.068,0.08505128538230185,45.474301116115015,3.598203360352941e-05,5.607949696689861e-05,2.00974633633692e-05,3.4642277062909854,0.665,0.828,0.7,8.0,2.0
0.069,0.08634782814621972,45.56013783404075,3.574418754107404e-05,5.570340579651069e-05,1.995921825543665e-05,3.4685214483869347,0.665,0.828,0.7,8.0,2.0
0.07,0.0876457642932796,45.646115125782316,3.550714791087578e-05,5.5328641439063624e-05,1.9821493528187846e-05,3.4728306912282214,0.665,0.828,0.7,8.0,2.0
0.07100000000000001,0.08894509682161653,45.732233347480474,3.527091515727991e-05,5.495520425179515e-05,1.9684289094515237e-05,3.47715553274032,0.665,0.828,0.7,8.0,2.0
