alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B,drop
0.0,-0.0,35.572362207313844,7.488376849306636e-05,0.00011827202902081865,4.3388260527752284e-05,3.204361439,0.6773912503432443,0.828677349,0.7,8.0,2.0,2
0.001,0.0012073460615170434,35.643471921542414,7.453252962399201e-05,0.0001177058942383282,4.317336461433619e-05,3.2075203936781627,0.6773912503432443,0.828677349,0.7,8.0,2.0,2
0.002,0.0024159012830373373,35.71469138566741,7.418205182226626e-05,0.00011714106545920112,4.295901363693486e-05,3.210688104235686,0.6773912503432443,0.828677349,0.7,8.0,2.0,2
0.003,0.0036256680889424483,35.786020859594736,7.38323359380581e-05,0.00011657754371643888,4.2745207778380776e-05,3.213864612522755,0.6773912503432443,0.828677349,0.7,8.0,2.0,2
0.004,0.004836648910912638,35.85746060408483,7.348338282067409e-05,0.00011601533004104662,4.2531947220372535e-05,3.217049960677626,0.6773912503432443,0.828677349,0.7,8.0,2.0,2
0.005,0.006048846187956184,35.92901088075582,7.313519331854488e-05,0.00011545442546201224,4.231923214346736e-05,3.220244191129205,0.6773912503432443,0.828677349,0.7,8.0,2.0,2
0.006,0.00726226236643886,36.00067195208769,7.278776827920708e-05,0.00011489483100627763,4.210706272707055e-05,3.2234473465996922,0.6773912503432443,0.828677349,0.7,8.0,2.0,2
0.007,0.008476899900113556,36.07244408142505,7.244110854929194e-05,0.00011433654769872089,4.1895439149428943e-05,3.226659470107209,0.6773912503432443,0.828677349,0.7,8.0,2.0,2
0.008,0.009692761250150046,36.14432753298201,7.209521497450263e-05,0.00011377957656212055,4.168436158761792e-05,3.2298806049685425,0.6773912503432443,0.828677349,0.7,8.0,2.0,2
0.009000000000000001,0.010909848885164919,36.21632257184468,7.175008839960496e-05,0.0001132239186171411,4.1473830217536145e-05,3.2331107948018,0.6773912503432443,0.828677349,0.7,8.0,2.0,2
0.01,0.012128165281251643,36.28842946397592,7.140572966840507e-05,0.00011266957488229753,4.126384521389246e-05,3.2363500835292283,0.6773912503432443,0.828677349,0.7,8.0,2.0,2
