alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B,drop
0.0,-0.0,35.586144124833496,7.480850079431606e-05,0.00011815045089294773,4.334195009863168e-05,3.204361439,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.001,0.0012073460615170434,35.65727280509563,7.445746079599118e-05,0.00011758465553691376,4.312719474092259e-05,3.207521186756074,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.002,0.0024159012830373373,35.72851126486,7.410718191653506e-05,0.00011702016616931363,4.2912984252778576e-05,3.210689695184137,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.003,0.0036256680889424483,35.79985976410524,7.375766500552659e-05,0.00011645698382217866,4.2699318816652066e-05,3.213867006170717,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.004,0.004836648910912638,35.87131856366435,7.34089109116808e-05,0.00011589510952554221,4.2486198613861414e-05,3.2170531618907336,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.005,0.006048846187956184,35.94288792522873,7.306092048283112e-05,0.0001153345443074116,4.2273623824580487e-05,3.220248204810126,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.006,0.00726226236643886,36.01456811135149,7.271369456591519e-05,0.00011477528919374584,4.206159462783065e-05,3.2234521776884706,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.007,0.008476899900113556,36.08635938545101,7.236723400695961e-05,0.00011421734520843169,4.1850111201472076e-05,3.226665123581632,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.008,0.009692761250150046,36.15826201181499,7.2021539651062e-05,0.0001136607133732552,4.163917372219319e-05,3.229887085844486,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.009000000000000001,0.010909848885164919,36.230276255603904,7.167661234237579e-05,0.0001131053947078779,4.1428782365502106e-05,3.2331181081336267,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.01,0.012128165281251643,36.30240238285462,7.13324529240947e-05,0.00011255139022981255,4.121893730571785e-05,3.2363582344101096,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.011,0.013347712922010794,36.374640660484495,7.098906223843456e-05,0.00011199870095439427,4.1009638715959706e-05,3.2396075089422616,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.012,0.014568494298580434,36.446991356294646,7.064644112661859e-05,0.0001114473278947575,4.08008867681389e-05,3.242865976308484,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.013000000000000001,0.01579051190966664,36.51945473897402,7.030459042885995e-05,0.00011089727206180873,4.059268163294878e-05,3.2461336814000963,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.014,0.017013768261574202,36.59203107810345,6.996351098434293e-05,0.00011034853446419708,4.0385023479854156e-05,3.2494106694242384,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.015,0.018238265868237437,36.66472064415857,6.962320363121127e-05,0.00010980111610829541,4.0177912477084145e-05,3.2526969859067503,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.016,0.019464007251251227,36.737523708514644,6.928366920654513e-05,0.00010925501799816493,3.99713487916198e-05,3.2559926766951555,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.017,0.020690994939902133,36.81044054345006,6.894490854634609e-05,0.0001087102411355312,3.976533258918511e-05,3.2592977879616365,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.018000000000000002,0.02191923147119975,36.8834714221497,6.860692248552266e-05,0.00010816678651976161,3.955986403423895e-05,3.262612366206016,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.019,0.023148719389908156,36.95661661870982,6.826971185786696e-05,0.00010762465514782892,3.935494328996196e-05,3.265936458258861,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.02,0.02437946124857754,37.02987640814097,6.793327749604291e-05,0.00010708384801429249,3.9150570518249576e-05,3.2692701112845253,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.021,0.025611459607576034,37.10325106637239,6.759762023156538e-05,0.00010654436611126635,3.894674587970097e-05,3.2726133727842703,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.022,0.026844717035121635,37.17674087025637,6.726274089478054e-05,0.0001060062104283875,3.874346953360696e-05,3.2759662905994826,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.023,0.028079236107314345,37.25034609757146,6.692864031485158e-05,0.00010546938195279444,3.8540741637942865e-05,3.279328912914791,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.024,0.02931501940816846,37.32406702702655,6.659531931974015e-05,0.00010493388166909778,3.833856234935763e-05,3.2827012882613227,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.025,0.030552069529645003,37.397903938265785,6.626277873618312e-05,0.00010439971055934396,3.8136931823160844e-05,3.2860834655200164,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.026000000000000002,0.031790389071684376,37.47185711187138,6.593101938968052e-05,0.00010386686960299657,3.7935850213316046e-05,3.289475493924862,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.027,0.0330299806422391,37.54592682936842,6.560004210447286e-05,0.00010333535977690098,3.773531767242812e-05,3.2928774230662854,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.028,0.03427084685730682,37.62011337322897,6.526984770352233e-05,0.0001028051820552548,3.753533435173247e-05,3.296289302894542,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.029,0.03551299034096341,37.6944170268758,6.494043700849563e-05,0.00010227633740958147,3.733590040108584e-05,3.2997111837231135,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.03,0.036756413725396245,37.768838074686734,6.461181083974366e-05,0.00010174882680869829,3.713701596895463e-05,3.303143116232192,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.031,0.038001119650937686,37.84337680199857,6.428397001628336e-05,0.00010122265121868846,3.69386812024051e-05,3.3065851514721687,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.032,0.039247110766098735,37.91803349511171,6.395691535577609e-05,0.00010069781160286714,3.6740896247091046e-05,3.310037340867214,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.033,0.04049438972760284,37.99280844129397,6.363064767450955e-05,0.0001001743089217536,3.6543661247244046e-05,3.3134997362188394,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.034,0.04174295920041986,38.06770192878484,6.33051677873781e-05,9.965214413304038e-05,3.6346976345662284e-05,3.3169723897095422,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.035,0.04299282185780024,38.14271424679983,6.298047650786223e-05,9.913131819156162e-05,3.615084168369939e-05,3.3204553539064774,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.036000000000000004,0.04424398038130938,38.217845685534584,6.265657464800891e-05,9.86118320492624e-05,3.595525740125349e-05,3.323948681765179,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.037,0.04549643746086214,38.29309653616919,6.233346301841171e-05,9.809368665516785e-05,3.576022363675614e-05,3.3274524266333194,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.038,0.046750195794757504,38.36846709087344,6.201114242818493e-05,9.757688295534285e-05,3.556574052715792e-05,3.3309666422545923,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.039,0.04800525808971351,38.443957642808044,6.168961368495891e-05,9.70614218928857e-05,3.537180820792678e-05,3.3344913827723484,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.04,0.049261627060902285,38.51956848613343,6.136887759483724e-05,9.654730440786019e-05,3.517842681302295e-05,3.3380267027338077,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.041,0.05051930543198529,38.59529991601078,6.104893496239203e-05,9.603453143728961e-05,3.498559647489758e-05,3.3415726570937787,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.042,0.05177829593514876,38.67115222860813,6.072978659063475e-05,9.552310391511081e-05,3.479331732447606e-05,3.3451293012187726,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.043000000000000003,0.05303860131113929,38.74712572110349,6.04114332810012e-05,9.50130227721514e-05,3.46015894911502e-05,3.3486966908909643,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.044,0.05430022430929967,38.82322069169054,6.009387583332378e-05,9.450428893608659e-05,3.441041310276281e-05,3.352274882312365,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.045,0.055563167687604845,38.89943743958233,5.977711504581402e-05,9.399690333141211e-05,3.421978828559809e-05,3.3558639321089285,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.046,0.056827434212698105,38.97577626501584,5.946115171504009e-05,9.349086687940969e-05,3.4029715164369594e-05,3.3594638973347384,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.047,0.058093026659927424,39.05223746925702,5.9145986635902403e-05,9.298618049810898e-05,3.3840193862206576e-05,3.363074835476306,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.048,0.059359947813382045,39.128821354604426,5.8831620601616144e-05,9.248284510226101e-05,3.365122450064487e-05,3.3666968044567898,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.049,0.06062820046592922,39.205528224394776,5.8518054403683596e-05,9.198086160329503e-05,3.346280719961143e-05,3.3703298626404385,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.05,0.06189778741925113,39.282358383006866,5.820528883187541e-05,9.148023090928988e-05,3.327494207741447e-05,3.373974068836931,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.051000000000000004,0.06316871148388205,39.35931213586639,5.789332467420675e-05,9.098095392493697e-05,3.308762925073021e-05,3.3776294823058697,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.052000000000000005,0.06444097547924565,39.436389789450395,5.7582162716915115e-05,9.048303155150629e-05,3.290086883459117e-05,3.381296162761274,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.053,0.06571458223369257,39.51359165129263,5.727180374443447e-05,8.998646468680628e-05,3.27146609423718e-05,3.3849741703762,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.054,0.06698953458453807,39.59091802998738,5.696224853937572e-05,8.949125422515395e-05,3.252900568577823e-05,3.388663565787316,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.055,0.06826583537810003,39.66836923519462,5.665349788250133e-05,8.899740105733569e-05,3.234390317483436e-05,3.3923644100996193,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.056,0.06954348746973706,39.74594557764455,5.634555255270265e-05,8.850490607057244e-05,3.215935351786979e-05,3.39607676489117,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.057,0.07082249372388676,39.823647369142805,5.603841332697424e-05,8.80137701484799e-05,3.197535682150566e-05,3.3998006922179242,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
0.058,0.07210285701410435,39.90147492257454,5.573208098039278e-05,8.752399417103653e-05,3.179191319064375e-05,3.4035362546185546,0.6773499914141142,0.828677349,0.7,8.0,2.0,3
